_id,SHELTER,LOCATION,GRILLS,TABLES at Shelters,Facility
1,McBride,McBride street,2,0,McBRIDE PARK
2,Banksville,Crane & Carnahan,0,15,BANKSVILLE PARK
3,Sheraden,Ashlyn & Thornton,2,10,SHERADEN PARK
4,West End Park,Walbridge & Herschel,1,7,WEST END PARK
5,McKinley,Bausman street,1,4,McKINLEY PARK
6,Lake Point,Lake Drive,3,7,HIGHLAND PARK
7,Rhododendron,Lake drive,3,11,HIGHLAND PARK
8,Elm Grove,Lake drive,1,2,HIGHLAND PARK
9,Sycamore Grove,Reservoir drive,2,4,HIGHLAND PARK
10,Bigelow Grove,Reservior drive,2,4,HIGHLAND PARK
11,Memorial Grove,Reservior drive,2,4,HIGHLAND PARK
12,Pool Grove,Lake Drive,1,4,HIGHLAND PARK
13,Vietnam Veteran's,Overlook Drive,2,18,SCHENLEY PARK
14,Bartlett street,Barlett St,1,4,SCHENLEY PARK
15,Overlook,Overlook Drive,1,2,SCHENLEY PARK
16,Camp David Lawrence,Overlook Drive,1,8,SCHENLEY PARK
17,Anderson,Schenley Park off Blvd of Allies,0,4,SCHENLEY PARK
18,Oval,Over Look Drive,,,SCHENLEY PARK
19,Forbes & Braddock,Forbes & Braddock,1,4,FRICK PARK
20,Mellon park,5th ave @ Beechwood,1,4,MELLON PARK
21,Activites Pavilion,Riverview Drive,1,37,RIVERVIEW PARK
22,Chapel,Riverview Ave,0,10,RIVERVIEW PARK
23,Valley Refuge,Grand Ave,2,6,RIVERVIEW PARK
24,Lake Grove,Lake Drive,,,HIGHLAND PARK
25,Stanton Grove,Reservoir drive,,,HIGHLAND PARK
26,Hawthorne Grove,Lake Drive,,,HIGHLAND PARK
27,Maple Grove,Reservoir drive,,,HIGHLAND PARK
