,﻿_id,SHELTER,LOCATION,GRILLS,TABLES at Shelters,Facility,NEIGHBORHOOD
1,1,McBride,McBride street,2,0,McBRIDE PARK,Lincoln Place
2,2,Banksville,Crane & Carnahan,0,15,BANKSVILLE PARK,Westwood
3,3,Sheraden,Ashlyn & Thornton,2,10,SHERADEN PARK,Sheraden
4,4,West End Park,Walbridge & Herschel,1,7,WEST END PARK,Elliott
5,5,McKinley,Bausman street,1,4,McKINLEY PARK,Beltzhoover
6,6,Lake Point,Lake Drive,3,7,HIGHLAND PARK,Highland Park
7,7,Rhododendron,Lake drive,3,11,HIGHLAND PARK,Highland Park
8,8,Elm Grove,Lake drive,1,2,HIGHLAND PARK,Highland Park
9,9,Sycamore Grove,Reservoir drive,2,4,HIGHLAND PARK,Highland Park
10,10,Bigelow Grove,Reservior drive,2,4,HIGHLAND PARK,Highland Park
11,11,Memorial Grove,Reservior drive,2,4,HIGHLAND PARK,Highland Park
12,12,Pool Grove,Lake Drive,1,4,HIGHLAND PARK,Highland Park
13,13,Vietnam Veteran's,Overlook Drive,2,18,SCHENLEY PARK,Fox Chapel
14,14,Bartlett street,Barlett St,1,4,SCHENLEY PARK,Squirrel Hill
15,15,Overlook,Overlook Drive,1,2,SCHENLEY PARK,Squirrel Hill
16,16,Camp David Lawrence,Overlook Drive,1,8,SCHENLEY PARK,Squirrel Hill
17,17,Anderson,Schenley Park off Blvd of Allies,0,4,SCHENLEY PARK,Oakland
18,18,Oval,Over Look Drive,,,SCHENLEY PARK,Oakland
19,19,Forbes & Braddock,Forbes & Braddock,1,4,FRICK PARK,Regent Square
20,20,Mellon park,5th ave @ Beechwood,1,4,MELLON PARK,Point Breeze
21,21,Activites Pavilion,Riverview Drive,1,37,RIVERVIEW PARK,Perry North
22,22,Chapel,Riverview Ave,0,10,RIVERVIEW PARK,Perry North
23,23,Valley Refuge,Grand Ave,2,6,RIVERVIEW PARK,Lincoln–Lemington–Belmar
24,24,Lake Grove,Lake Drive,,,HIGHLAND PARK,Highland Park
25,25,Stanton Grove,Reservoir drive,,,HIGHLAND PARK,Highland Park
26,26,Hawthorne Grove,Lake Drive,,,HIGHLAND PARK,Highland Park
27,27,Maple Grove,Reservoir drive,,,HIGHLAND PARK,Highland Park
